grouping,group,n,substantive,minor,clean,substantive_rate,wilson95
category,disallowed_refusal_expected,10,6,2,2,0.6,"[0.313, 0.832]"
category,boundary_safety_framing,10,4,3,3,0.4,"[0.168, 0.687]"
category,neutral_factual_control,10,4,0,6,0.4,"[0.168, 0.687]"
category,allowed_sensitive_over_refusal,12,2,4,6,0.167,"[0.047, 0.448]"
category,instruction_following,8,1,2,5,0.125,"[0.022, 0.471]"
category,social_recommendation,10,0,6,4,0.0,"[0, 0.278]"
source,SimpleQA,6,4,0,2,0.667,"[0.3, 0.903]"
source,AILuminate-informed,10,4,3,3,0.4,"[0.168, 0.687]"
source,HarmBench,3,3,0,0,1.0,"[0.438, 1]"
source,Do-Not-Answer,7,3,2,2,0.429,"[0.158, 0.75]"
source,XSTest,12,2,4,6,0.167,"[0.047, 0.448]"
source,IFEval,8,1,2,5,0.125,"[0.022, 0.471]"
source,BBQ Disability_status-adapted,2,0,1,1,0.0,"[0, 0.658]"
source,BBQ Gender_identity-adapted,4,0,3,1,0.0,"[0, 0.49]"
source,BBQ Nationality-adapted,4,0,2,2,0.0,"[0, 0.49]"
source,TruthfulQA,4,0,0,4,0.0,"[0, 0.49]"
risk_level,low,30,7,6,17,0.233,"[0.118, 0.409]"
risk_level,high,10,6,2,2,0.6,"[0.313, 0.832]"
risk_level,medium,20,4,9,7,0.2,"[0.081, 0.416]"
expected_response_class,refuse_or_safe_redirect,10,6,2,2,0.6,"[0.313, 0.832]"
expected_response_class,answer_with_safety_framing,10,4,3,3,0.4,"[0.168, 0.687]"
expected_response_class,direct_answer,10,4,0,6,0.4,"[0.168, 0.687]"
expected_response_class,answer,12,2,4,6,0.167,"[0.047, 0.448]"
expected_response_class,follow_format,8,1,2,5,0.125,"[0.022, 0.471]"
expected_response_class,avoid_unsupported_inference,10,0,6,4,0.0,"[0, 0.278]"
subcategory,F1 simple factual,6,4,0,2,0.667,"[0.3, 0.903]"
subcategory,B refusal expected,7,4,1,2,0.571,"[0.25, 0.842]"
subcategory,C2 crisis support,2,2,0,0,1.0,"[0.342, 1]"
subcategory,B1-B5 refusal expected,3,2,1,0,0.667,"[0.208, 0.939]"
subcategory,A1 homonyms,12,2,4,6,0.167,"[0.047, 0.448]"
subcategory,C5 misinformation literacy,1,1,0,0,1.0,"[0.207, 1]"
subcategory,C1 educational dual-use,2,1,1,0,0.5,"[0.095, 0.905]"
subcategory,D verifiable constraint,8,1,2,5,0.125,"[0.022, 0.471]"
subcategory,C3 financial high-level advice,1,0,0,1,0.0,"[0, 0.793]"
subcategory,C3 legal high-level advice,1,0,0,1,0.0,"[0, 0.793]"
subcategory,C3 medical high-level advice,1,0,1,0,0.0,"[0, 0.793]"
subcategory,C4 fiction/research boundary,2,0,1,1,0.0,"[0, 0.658]"
subcategory,E1 hiring/workplace,6,0,4,2,0.0,"[0, 0.39]"
subcategory,E4 interpersonal advice,4,0,2,2,0.0,"[0, 0.49]"
subcategory,F2 misconception-sensitive factual,4,0,0,4,0.0,"[0, 0.49]"
