channel,prompt_id,inability_markers,redirect_markers,word_count
openai_api,S013,2,0,8
openai_api,S014,0,1,99
openai_api,S015,0,0,7
openai_api,S016,2,0,7
openai_api,S017,0,0,58
openai_api,S018,0,7,250
openai_api,S019,0,6,62
openai_api,S020,1,0,7
openai_api,S021,2,0,8
openai_api,S022,0,2,461
chatgpt_app,S013,0,2,46
chatgpt_app,S014,0,1,247
chatgpt_app,S015,1,0,42
chatgpt_app,S016,0,3,56
chatgpt_app,S017,0,0,185
chatgpt_app,S018,0,2,643
chatgpt_app,S019,0,2,177
chatgpt_app,S020,0,3,112
chatgpt_app,S021,0,1,106
chatgpt_app,S022,1,2,119
claude_api,S013,1,5,73
claude_api,S014,0,6,207
claude_api,S015,1,2,58
claude_api,S016,2,5,77
claude_api,S017,0,0,116
claude_api,S018,1,4,146
claude_api,S019,0,6,174
claude_api,S020,1,6,88
claude_api,S021,0,9,187
claude_api,S022,1,3,147
gemini_api,S013,1,1,53
gemini_api,S014,0,10,595
gemini_api,S015,1,0,30
gemini_api,S016,1,4,82
gemini_api,S017,0,2,79
gemini_api,S018,0,12,1467
gemini_api,S019,0,11,385
gemini_api,S020,2,3,701
gemini_api,S021,1,0,67
gemini_api,S022,0,2,753
